Master_BOL,Container_num,outbound,ACS_in_house_ETA,vizion_ETA,NO_milestones
ZIMUHAI80039979,TEMU7306765,Y,2021-09-12,#N/A,#N/A
AYLSA210817857,TGCU0234585,Y,2021-10-01,#N/A,#N/A
JKTSO 210906700,ONEU0075623,Y,2021-10-13,#N/A,#N/A
ONEYJKTBD7094700,MOAU0567013,Y,2021-10-13,#N/A,#N/A
ONEYJKTBD7095800,BMOU6597174,Y,2021-10-13,#N/A,#N/A
MATS3917281000,FCIU8348100,Y,2021-09-12,#N/A,#N/A
UCMICMX56416,TEMU3445084,Y,2021-10-04,#N/A,#N/A
JKTLGB09019,WHLU5690954,Y,2021-10-13,#N/A,#N/A
JKTLGB09019,WHSU6666290,Y,2021-10-13,#N/A,#N/A
JKTLGB09019,WHSU6670789,Y,2021-10-13,#N/A,#N/A
OOLU2676584872,OOLU9173832,Y,2021-10-07,#N/A,#N/A
CJKU21090074,TCNU6021264,Y,2021-10-19,#N/A,#N/A
100BX19282,BEAU4818008,Y,2021-10-02,#N/A,#N/A
JKTLGB09020,WHLU5571174,Y,2021-11-04,#N/A,#N/A
JKTLGB09020,TEMU8116409,Y,2021-11-04,#N/A,#N/A
JKTLGB09020,CAIU9246907,Y,2021-11-04,#N/A,#N/A
NJLH060412865,WHSU6275594,Y,2021-10-01,#N/A,#N/A
NJLH060412483,WHSU5933134,Y,2021-10-01,#N/A,#N/A
4861-9787-108.905,BEAU5318990,Y,2021-10-15,#N/A,#N/A
AYLSA210817860,MATU4583010,Y,2021-09-20,#N/A,#N/A
AYLSA210817860,MATU4603097,Y,#N/A,#N/A,#N/A
041BX04925,WHSU5980012,Y,2021-10-18,#N/A,#N/A
CMWV211318,BEAU5340130,Y,2021-09-22,#N/A,#N/A
040BX08341,WHSU5663574,Y,2021-10-10,#N/A,#N/A
040BX08404,WHSU6441437,Y,2021-10-10,#N/A,#N/A
NJLH060412908,WHSU6241233,Y,2021-10-09,#N/A,#N/A
NJLH060412907,WHSU6406312,Y,2021-10-09,#N/A,#N/A
NJLH060412906,WHSU6673242,Y,2021-10-09,#N/A,#N/A
NJLH060412903,WHSU5770320,Y,2021-10-09,#N/A,#N/A
WHLC050BA07052,WHSU5794759,Y,2021-11-04,#N/A,#N/A
WHLC050BA07052,WHSU6642160,Y,2021-11-04,#N/A,#N/A
HLCUPN7210918844,TEMU7445020,Y,2021-10-20,#N/A,#N/A
TFYV037621,HAMU1208272,Y,2021-10-11,#N/A,#N/A
HLCUPN7210906524,TGHU8920321,Y,2021-10-20,#N/A,#N/A
HLCUPN7210906524,UACU5378789,Y,2021-10-20,#N/A,#N/A
TFYV037625,HLXU8376296,Y,2021-09-28,#N/A,#N/A
LGB21092017,WHSU5915341,Y,2021-10-10,#N/A,#N/A
HCLGBSL90233,WHSU6146869,Y,2021-10-25,#N/A,#N/A
HCLGBSL90233,WHSU6448771,Y,2021-10-25,#N/A,#N/A
NOT PTOVIDED,WHSU6139140,Y,2021-10-01,#N/A,#N/A
LGB2109040BD,WHSU2888828,Y,2021-10-09,#N/A,#N/A
LGB2109041,WHSU6673258,Y,2021-10-09,#N/A,#N/A
CMWV211292,NYKU0801185,Y,2021-09-21,#N/A,#N/A
CMWV211292,DFSU7430265,Y,2021-09-21,#N/A,#N/A
CMWV211449,OOCU7023014,Y,2021-10-27,#N/A,#N/A
KCHPH2108048,WHSU5025306,Y,2021-09-12,#N/A,#N/A
KCHPH2108047,WHSU5283975,Y,2021-09-15,#N/A,#N/A
LGB2109046,WHSU2885557,Y,2021-10-09,#N/A,#N/A
KCHPH2108049,SEGU5128415,Y,2021-09-12,#N/A,#N/A
CMWV211319,BEAU5340130,Y,2021-09-22,#N/A,#N/A
PNH21090049,OOLU8623982,Y,2021-10-23,#N/A,#N/A
HCLGBSL90459,WHSU5159692,Y,2021-11-07,#N/A,#N/A
HCLGBSL90459,WHSU5620274,Y,2021-11-07,#N/A,#N/A
UCMICMX56450,MSMU7016880,Y,2021-10-23,#N/A,#N/A
UCMICMX56450,IPXU3962060,Y,2021-10-23,#N/A,#N/A
ITIKH2109066,SEGU6388696,Y,2021-10-28,#N/A,#N/A
040BX08740,WHSU6392055,Y,#N/A,#N/A,#N/A
