Containers that do not have trackings,,,,
container_id,shipping_company,bill_of_lading,created_at,vizion_reference_id
DRYU9137070,,SEL1H2520500,2021-08-23 22:12:26 UTC,2d1a28b6-c31c-4f59-8e26-a44c74d0a261
CAIU7700707,YMLU,YMLUW236597246,2021-08-23 22:12:26 UTC,f8edf648-5549-4b4c-8164-539749ff01ad
NLLU4114126,,PFSL21070962,2021-08-23 22:12:26 UTC,0d3f8c87-09ee-4a33-bce8-7d833d529e37
SEGU4337940,YMLU,YMLUW425910629,2021-08-23 22:12:26 UTC,bf7231fb-d22b-4699-b459-49bc914c47e3
TRIU9106090,,SFLPKL2107601,2021-08-23 22:12:26 UTC,d5402dd8-c566-4dda-ad61-1b99d18f67ae
EITU1688545,,ELVG080100475009,2021-08-23 22:12:26 UTC,918555d7-9e78-4332-9af4-5757047a1de4
HMCU9010099,,ELVG080100475009,2021-08-23 22:12:26 UTC,c36f9bbc-b68d-4927-bf29-7ecdf1824c11
FCIU8043523,,SHGK1A717600,2021-08-23 22:12:26 UTC,99575383-b8e6-42a0-beb6-0d1cf5250a38
CAIU6806356,,WWLLWLC10805750E,2021-08-23 22:12:26 UTC,9154106b-ec23-4ea5-8b42-b2df7f5a446e
DFSU7434846,,BPNH21080022,2021-08-23 22:12:26 UTC,2507f06b-b351-4086-80bc-41cc3dffb6dd
SKHU9310103,,NLJSO 2108097-00,2021-08-23 22:12:26 UTC,26e0f143-1170-4a64-b9a9-459c02b03c98
GESU6737495,,NLJSO 2108097-00,2021-08-23 22:12:26 UTC,d0c94445-2aa3-4668-ad9d-97a602fc6721
SKHU8933897,,NLJSO 2108097-00,2021-08-23 22:12:26 UTC,52bc9707-97b6-4379-9d1f-c05868cfa53c
ZCSU7308736,,OPWT21-0430,2021-09-16 14:00:04 UTC,03072e4f-78b9-4752-b9d3-f0c3110e8199
CAIU4336438,,OPWT21-0430,2021-09-16 14:00:04 UTC,3fdd51fe-4bfe-487a-8d67-e6ffeae02763
GAOU6045615,,OPWT21-0429,2021-09-16 14:00:04 UTC,dda91eaf-7dda-4b12-b8f9-a247e2f3a284
ZCSU8588760,,OPWT21-0429,2021-09-16 14:00:04 UTC,06724c98-f134-4130-8073-c412385c3b6f
