id,container_id,port_name,city,state,unlocode,facility,latitude,longitude
2179,HAMU1269494,"HALIFAX, NS",Halifax,Canada,,,44.64876350000001,44.64876350000001
2186,EITU1425554,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2195,EMCU9717793,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2201,FCIU7522769,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2211,TCNU2120253,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2219,TCNU4502888,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2228,EGHU9675306,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2235,EITU1299625,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2245,BEAU4454210,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2253,TEMU6408314,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2261,EITU1287671,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2262,EGHU8249570,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2269,CAAU5346910,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2279,EGHU9828278,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2280,DRYU9425143,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2289,EGHU9055060,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2295,TCNU3671369,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2301,FCIU7513704,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2303,TGBU6892471,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2309,BMOU4470982,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2315,TRHU4766879,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2321,TRHU4937246,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2322,TRHU5239384,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2327,EGHU9689700,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2328,EITU1034610,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2335,EITU9011078,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2342,EITU1516891,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2347,CBHU8964284,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
2349,TGBU8717333,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
2351,OOLU8302025,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
2353,TRLU9734229,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
2362,BEAU6239197,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
2363,CSNU6247261,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
2365,BEAU5456650,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
2375,FFAU1827172,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
2385,TLLU5500983,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
2394,CAAU5822555,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
2402,FDCU0058430,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
2410,MEDU4785189,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
2420,TEMU8690490,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2430,EGHU9270437,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2432,MAGU5298870,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2442,TEMU8539859,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2447,TCLU7983692,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2457,TCNU2859074,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2467,EITU1393499,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2475,EITU1943722,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2480,TGBU6939049,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2490,EITU1038684,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2491,EITU1452349,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2497,EITU9279409,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2504,TLLU4097549,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
2508,EGHU8259095,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
