id,container_id,shipping_company,vizion_reference_id,vision_organization_id,bill_of_lading,latest_status,created_at,updated_at,finished_journey,uploaded
34,TCNU4573449,EGLV,ae5d13c2-d395-404a-a41f-5fb41d8d2e90,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,EGLV236100284675,,2021-07-30 01:23:07.029361,2021-08-02 22:53:44.230011,t,t
272,FSCU8336264,MEDU,ebcd274a-2557-4833-aa41-ce9b6845c43a,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA851907,,2021-08-05 21:00:04.302226,2021-08-05 21:30:07.180306,t,t
274,BEAU5462400,ONEY,acfcb213-9a09-40b4-bc31-20d6003a9496,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB13743700,,2021-08-05 21:00:04.414718,2021-08-05 21:30:33.945501,t,t
275,TCLU3662523,ONEY,2556c6fe-900a-4fe7-9c3d-55dd8b3cba51,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB13743700,,2021-08-05 21:00:04.424585,2021-08-05 21:30:37.232153,t,t
276,TCNU4861173,ONEY,25ab7dbd-ebfb-42ed-89a0-275330c0c370,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB13743700,,2021-08-05 21:00:04.432886,2021-08-05 21:30:40.473373,t,t
277,BEAU5512521,ONEY,2387f2f1-b00b-423c-b6ef-8611c1d8e6fd,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB13743700,,2021-08-05 21:00:04.441052,2021-08-05 21:30:43.830586,t,t
302,KOCU4675605,HDMU,dfc83cd1-e6cc-4c78-96bc-82898edfe2a5,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUSELM13156400,,2021-08-07 21:00:04.810409,2021-08-07 21:31:02.599517,t,t
55,CAIU7405595,HDMU,63698183-61be-4d61-9342-41984bbae3ef,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUJKTM74157100,,2021-07-30 21:00:04.008471,2021-07-30 21:30:47.252308,t,t
57,HMMU6008101,HDMU,42096507-029d-4bf5-a519-053eb949d484,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUJKTM74157100,,2021-07-30 21:00:04.025845,2021-07-30 21:30:53.702037,t,t
273,MEDU7272868,MEDU,895f68cc-54d0-461f-9566-a2fa50a10cef,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA8519076,,2021-08-05 21:00:04.312042,2021-08-05 21:30:11.035906,t,t
