container_id,milestone_timestamp,location_city,raw_descripition
KKFU7974514,2021-07-06 07:34:00 UTC,Chattogram,'X-PRESS LHOTSE 108S' Departure from Port of Loading
KKFU7974514,2021-07-06 07:00:00 UTC,Chattogram,Loaded on 'X-PRESS LHOTSE 108S' at Port of Loading
KKFU7974514,2021-07-02 23:45:00 UTC,Chattogram,Gate In to Outbound Terminal
KKFU7974514,2021-07-02 20:00:00 UTC,Chattogram,Empty Container Release to Shipper
NYKU4425050
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
CAIU9323520
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
NYKU4803864
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
TCNU6423598
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
TCNU6648064
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
TLLU5507334
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
OOLU8963149
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
======= Start Containers that have no Milestones
container_id,vizion_reference_id,created_at,finished_journey
CCLU1918887,94a66a26-b165-4c1b-b3a9-36b6012a5748,2021-08-03 21:00:04 UTC,false
FFAU2707788,e2abae1f-95c0-4527-96b3-acbaf1ed3716,2021-08-05 21:00:05 UTC,false
BMOU5112330,No tracking info for this container
EITU1688545,No tracking info for this container
HMCU9010099,No tracking info for this container
SEGU6849416,98a0249c-6b66-49ff-a35d-f38986abbc4b,2021-08-07 21:00:04 UTC,false
MRSU4492688,1afcbaaf-9adc-4f72-81ea-aebc9d5088d7,2021-08-07 21:00:04 UTC,false
SMCU1192022,af0d50dc-56dc-4b3f-b427-d6fac5673966,2021-08-07 21:00:04 UTC,false
SLHU4500038,ef0b6f5c-257b-43d7-a7da-00d4203efe53,2021-07-27 00:06:43 UTC,false
NLLU4114635,06788e12-71c7-492e-8444-91aae92b8502,2021-08-03 21:00:04 UTC,false
